EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,311
515875fa,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> is added to <*> size <*>,314
198933df,Received block <*> of size <*> from / <*>,292
1c5cde55,Receiving block <*> src : / <*> dest : / <*>,292
1fdad114,BLOCK* NameSystem.allocateBlock : <*> <*>,115
32777b38,Verification succeeded for <*>,20
dc6edd61,Deleting block <*> file <*> <*>,263
33b29dd6,<*> Served block <*> to / <*>,80
5e80c17e,<*> : Got exception while serving <*> to / <*> :,80
f6cb47bf,BLOCK* NameSystem.delete : <*> is added to invalidSet of <*>,224
40651754,<*> Starting thread to transfer block <*> to <*>,1
04137b95,BLOCK* ask <*> to delete <*>,5
dddf5716,Received block <*> src : / <*> dest : / <*> of size <*>,2
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
