EventId,EventTemplate,Occurrences
30c04e78,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{ <*> token = Token{ <*> ActivityRecord{ <*> u0 <*> /. <*> t761}}} , allDrawn = false , startingDisplayed = false , startingMoved = false , isRelaunching = false",1
ae4f82c1,"acquire lock = <*> , flags = <*> , tag = "" View Lock "" , name = <*> , ws = null , uid = <*> , pid = <*>",1
bc85aa74,"ready = true , policy = <*> , wakefulness = <*> , wksummary = <*> , uasummary = <*> , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = <*> , auto = - <*> , adj = <*> .0userId = <*>",199
85fb1fe1,Skipping AppWindowToken{ <*> token = Token{ <*> ActivityRecord{ <*> u0 <*> <*> <*> <*> t761}}} -- going to hide,4
ae0e6d6d,visible is <*>,3
168e62e2,mVisiblity.getValue is false,5
9042ff8a,visible is <*> gt <*>,2
37f5365a,"release : lock = <*> , flg = <*> , tag = "" View Lock "" , name = <*> "" , ws = null , uid = <*> , pid = <*>",1
e6c7def8,"updateClipping isOverlap : false , getTopPadding = <*> . <*> , Translation = <*> <*> . <*>",52
28b590b8,updateDimmedActivatedHideSensitive overlap : false,52
db6be6fb,getRunningAppProcesses : caller <*> does not hold REAL_GET_TASKS ; limiting output,81
fa8f804b,"release : lock = <*> , flg = <*> , tag = "" *launch* "" , name = android "" , ws = WorkSource{ <*> } , uid = <*> , pid = <*>",8
37250b57,"setSystemUiVisibility vis = <*> mask = <*> oldVal = <*> newVal = <*> diff = <*> fullscreenStackVis = <*> dockedStackVis = <*> , fullscreenStackBounds = Rect( <*> , <*> - <*> , <*> ) , dockedStackBounds = Rect( <*> , <*> - <*> , <*> )",200
3c2ee2af,cancelAutohide,15
bad27f82,"notifyUiVisibilityChanged : vis = <*> , SystemUiVisibility = <*>",19
11aaba01,Destroying surface Surface(name = SurfaceView - <*> <*> . <*> ) called by <*> : <*> <*> : <*> <*> : <*> <*> $Stub.onTransact : <*> <*> : <*> <*> : <*> <bottom of call stack> <bottom of call stack>,1
7029cce9,Destroying surface Surface(name = <*> <*> <*> <*> <*> called by <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> <*> : <*> <*> : <*>,10
f496df04,"release : lock = <*> , flg = <*> , tag = "" WindowManager "" , name = android "" , ws = WorkSource{ <*> } , uid = <*> , pid = <*>",1
bdc1d57a,"userActivityNoUpdateLocked : eventTime = <*> , event = <*> , flags = <*> , uid = <*>",69
9638e733,"orientation change is complete , call stopFreezingDisplayLocked",1
