EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,109
dabf5c80,"CE sym <*> , at <*> , mask <*>",92
1d198c68,ciod : failed to read message prefix on control stream (CioStream socket to <*>,3
070de4aa,generating <*>,721
9f7cd7e7,force load/store alignment...............0,2
31f426ed,ciod : cpu <*> at treeaddr <*> sent unrecognized message 0xffffffff,1
0e8cf8de,ciod : LOGIN <*> failed : No such file or directory,18
9814cdc2,"<*> ddr errors(s) detected and corrected on rank <*> , symbol <*> , bit <*>",18
38a7307d,data TLB error interrupt,60
8c2665c2,ciod : Message code <*> is not <*> or <*>,1
d2c9db9b,data storage interrupt,30
8b6f4e76,instruction address <*> <*>,22
b8442287,data address <*> <*>,13
9cc3b27a,machine check <*> <*>,7
f92fd39c,program interrupt : illegal <*>,8
42c9377e,exception syndrome register : <*>,6
9851467f,data store interrupt caused by <*>,10
ba751a7f,program interrupt : privileged instruction...0,5
b02e6a99,program interrupt : trap instruction.........0,1
2230e330,program interrupt : imprecise exception......0,5
40c9c002,store operation.............................1,2
07c715de,machine state register : 0x00002000,4
a9d3103d,"problem state (0 = sup , <*> = usr).......0",3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
23b2adc8,floating pt ex mode <*> enable......0,5
aeb9cd48,program interrupt : unimplemented operation..0,2
2ec4bdb1,debug interrupt enable............0,1
3971a417,byte ordering exception.....................0,2
3db1d5f2,core configuration register : 0x00002000,7
7ba7fdb2,program interrupt : fp cr update.............0,1
1335bf9d,guaranteed instruction cache block touch.0,2
49b4926d,program interrupt : fp cr field .............0,4
53a936ba,guaranteed data cache block touch........1,1
3777cdd1,icache prefetch <*>,3
198c56f7,wait state enable.................0,1
1c2a9320,critical input interrupt enable...0,1
5c16f86f,special purpose registers :,1
296650b4,lr : 00004ed0 cr : <*> xer : <*> ctr : <*>,1
af999985,rts internal error,1
fe410cc8,debug wait enable.................0,2
228fcad4,disable store gathering..................0,3
147cfcff,total of <*> ddr error(s) detected and corrected,13
9b155f1f,"ciod : Error loading <*> : invalid or missing program image , No such file or directory",21
e304a8fa,ciod : Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map : No child processes,1
0d02c0e2,program interrupt,3
a2335b6b,Node card is not fully functional,6
7a8317cd,ciod : Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map : Bad file descriptor,1
cde7c772,Ido chip status changed : FF : F2 : 9F : <*> : <*> : <*> : <*> : 0D : <*> : <*> : <*> : <*> ip = <*> v = <*> t = <*> status = M <*> <*> PDT <*>,5
9d5d6232,Can not get assembly information for node card,6
cf8e102a,ciod : Missing or invalid fields on line <*> of node map file <*>,2
d6e5f01c,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,4
e5573fac,ciod : duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
a4049ddf,ciod : Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map : Block device required,1
220716fc,rts panic! - stopping execution,2
