EventId,EventTemplate,Occurrences
9fa0c54e,Component State Change : Component <*> <*> <*> <*> <*> is in the unavailable state (HWID <*> ),12
b6d38bd5,clusterAddMember (command <*>,2
e5e34e3d,risBoot (command 1903),1
76727c51,bootGenvmunix (command <*>,2
8d336518,boot (command <*>,67
28889bc4,wait (command <*>,66
ffd891af,halt (command <*>,3
b4e25afc,Command has completed successfully,10
4a5a3e82,Targeting domains : <*> and nodes : <*> child of command <*>,5
fb67e5f6,Targeting domains : <*> and nodes : <*> <*> <*>,4
fde4edad,psu failure\ ambient <*>,5
3b219fff,Temperature (41C) exceeds warning threshold,2
e6dfd4e8,ClusterFileSystem : There is no server for ServerFileSystem domain <*>,32
e8e28ff0,NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,2
1a56db26,ServerFileSystem : An ServerFileSystem domain panic has occurred on storage442,1
3ea2d652,Fan speeds ( <*> <*> <*> <*> <*> <*> ),90
5452c51c,Command has been aborted,1
e13d082a,power/control problem,1
ec4e03ec,Link error,13
db5aa7f9,Link in reset,9
641961b9,Link ok,13
e13bbca9,Link error on broadcast tree <*> : <*> : <*> : <*>,4
d62b3142,ServerFileSystem : ServerFileSystem domain <*> is full,12
7327d207,ClusterFileSystem : ServerFileSystem domain <*> is no longer served by node <*>,36
75101dcd,running,162
61326117,blocked,15
b02b9741,not responding,60
8cfafe98,configured out,91
45a5fb3b,inconsistent nodesets <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok>,4
c76a5e84,active,5
252f035f,not-responding,1
1ee85f6c,starting,1
3b38bec1,closing,1
fea08751,normal,206
7b83d3f0,warning,205
ac100cb8,ambient <*>,292
7e85bcb6,critical,20
9050ee25,Linkerror event interval expired,394
fc3695d9,risBoot (command 1903) Error : Timed out while waiting for SRM prompt : <ABORT code completed>,1
2706b4fa,boot (command 2092) Error : HALT asserted\ cannot continue,1
bd82b62d,Failed subcommands <*>,1
551adf73,link errors remain current,56
7d304af5,NIFF : node <*> has detected an available network connection on network <*> via interface <*>,91
