EventId,EventTemplate,Occurrences
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
7feac570,Executing with tokens :,1
ed6c567e,"Kind : YARN_AM_RM_TOKEN , Service : , Ident : (appAttemptId { application_id { id : <*> cluster_timestamp : <*> } attemptId : <*> } keyId : -127633188)",1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
3a2b3aef,Registering class <*> for class <*>,9
beb11f13,Default file system [hdfs : //msra-sa-41 : 9000],3
3a03968c,Emitting job history data to the timeline server is not enabled,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
4dc89700,Scheduled snapshot period at <*> second(s).,1
fc657c96,MRAppMaster metrics system started,1
d3121b5d,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
da1ea596,Not uberizing job_1445144423722_0020 because : not enabled ; too many maps ; too much input ;,1
196c00e5,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = <*>,1
1e3d6618,Number of reduces for job job_1445144423722_0020 = <*>,1
f818dffe,job_1445144423722_0020Job Transitioned from NEW to INITED,1
0a3732af,"MRAppMaster launching normal , non-uberized , multi-container job job_1445144423722_0020.",1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
192d0e3e,Starting Socket Reader #1 for port <*>,2
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
808e383d,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/ <*>,1
e40be51c,IPC Server Responder : starting,2
bedf1b9c,IPC Server listener on <*> : starting,2
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
44881da5,Added global filter 'safety' (class = org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
41dd53d2,Added filter AM_PROXY_FILTER (class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
cfdee873,Added filter AM_PROXY_FILTER (class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1
d94e573e,adding path spec : <*>,2
8aa20788,Jetty bound to port <*>,1
6b77fa65,jetty-6.1.26,1
10357c40,JOB_CREATE job_1445144423722_0020,1
7fbe270e,yarn.client.max-cached-nodemanagers-proxies : <*>,1
accbe83c,ATTEMPT_START task_1445144423722_0020_m_000000,1
846b3c60,ATTEMPT_START task_1445144423722_0020_m_000001,1
605317c5,ATTEMPT_START task_1445144423722_0020_m_000002,1
1a7e63f4,ATTEMPT_START task_1445144423722_0020_m_000003,1
0f9e00e3,ATTEMPT_START task_1445144423722_0020_m_000004,1
1cb15479,ATTEMPT_START task_1445144423722_0020_m_000005,1
a59196b5,ATTEMPT_START task_1445144423722_0020_m_000006,1
b6ebd73d,ATTEMPT_START task_1445144423722_0020_m_000007,1
e18bbe7b,ATTEMPT_START task_1445144423722_0020_m_000008,1
ed0241a2,ATTEMPT_START task_1445144423722_0020_m_000009,1
087cb8a0,Extract jar : file : /D : /hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C : \Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
05c933e2,Started HttpServer2$SelectChannelConnectorWithSafeStartup@ <*>,1
01425cf2,Web app /mapreduce started at <*>,1
5ba9445a,Registered webapp guice modules,1
50aea95d,nodeBlacklistingEnabled : true,1
07a75a5d,maxTaskFailuresPerNode is <*>,1
168a0869,blacklistDisablePercent is <*>,1
2e74621b,Connecting to ResourceManager at msra-sa-41/ <*>,1
19b03445,"maxContainerCapability : <memory : <*> , vCores : 32>",1
7ef9acf4,queue : default,1
293bdc87,Upper limit on the thread pool size is <*>,1
8362f0f7,job_1445144423722_0020Job Transitioned from INITED to SETUP,1
94ada1c0,Processing the event EventType : <*>,3
59681fa2,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,1
6659e8b0,Resolved <*> to /default-rack,39
af0da6f2,<*> Task Transitioned from NEW to SCHEDULED,11
83c1b8ed,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
8645932c,"mapResourceRequest : <memory : <*> , vCores : 1>",1
6a9d9093,"Event Writer setup for JobId : job_1445144423722_0020 , File : hdfs : //msra-sa-41 : 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",1
0a8b7172,"reduceResourceRequest : <memory : <*> , vCores : 1>",1
09bedc6f,Before Scheduling : PendingReds : <*> ScheduledMaps : <*> ScheduledReds : <*> AssignedMaps : <*> AssignedReds : <*> CompletedMaps : <*> CompletedReds : <*> ContAlloc : <*> ContRel : <*> HostLocal : <*> RackLocal : <*>,5
4b07977c,"getResources() for application_1445144423722_0020 : ask = <*> release = <*> newContainers = <*> finishedContainers = <*> resourcelimit = <memory : <*> , vCores : <*> knownNMs = <*>",12
e5979f78,"Recalculating schedule , headroom = <memory : <*> , vCores : <*>",131
1fbfd66f,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
0f71bb1f,Got allocated containers <*>,10
5e5f5ff9,Assigned container <*> to <*>,10
7a55102f,After Scheduling : PendingReds : <*> ScheduledMaps : <*> ScheduledReds : <*> AssignedMaps : <*> AssignedReds : <*> CompletedMaps : <*> CompletedReds : <*> ContAlloc : <*> ContRel : <*> HostLocal : <*> RackLocal : <*>,12
3f211758,The job-jar file on the remote FS is hdfs : //msra-sa-41 : 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,1
bb42a120,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,1
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container,1
e497a05e,Size of containertokens_dob is <*>,1
944f8887,Putting shuffle token in serviceData,1
e03f95cb,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
f5a521b8,Processing the event EventType : <*> for container <*> taskAttempt <*>,13
df347da1,Launching <*>,10
5d4fca87,Opening proxy : <*> : <*>,13
f4ac93f2,Shuffle port returned by ContainerManager for <*> : <*>,10
4caf8fc6,TaskAttempt : <*> using containerId : <*> on NM : <*> : <*>,10
2a94fbaf,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
a66db97c,<*> Task Transitioned from SCHEDULED to RUNNING,10
c08bbc63,Auth successful for job_1445144423722_0020 (auth : SIMPLE),10
60675cee,JVM with ID : <*> asked for a task,10
2b2b6353,JVM with ID : <*> given task : <*>,10
3670935b,Progress of TaskAttempt <*> is : <*>,289
3f6aa571,"Cannot assign container Container : [ContainerId : container_1445144423722_0020_01_000012 , NodeId : MSRA-SA-39.fareast.corp.microsoft.com : <*> , NodeHttpAddress : MSRA-SA-39.fareast.corp.microsoft.com : <*> , Resource : <memory : <*> , vCores : 1> , Priority : <*> , Token : Token { kind : ContainerToken , service : <*> } , ] for a map as either container memory less than required <memory : <*> , vCores : 1> or no pending map tasks - maps.isEmpty = true",1
ba0e1b89,Received completed container <*>,2
2712fdae,Container complete event for unknown container id container_1445144423722_0020_01_000012,1
0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
5889b0d6,<*> TaskAttempt Transitioned from RUNNING to <*>,3
da04743d,KILLING <*>,3
e8961bc9,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,1
04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
2e4c310e,task_1445144423722_0020_m_000003 Task Transitioned from RUNNING to SUCCEEDED,1
429dbd7b,Num completed Tasks : <*>,1
ec6b84b4,Reduce slow start threshold reached. Scheduling reduces.,1
8f228cdb,All maps assigned. Ramping up all remaining reduces : <*>,1
e051b4cf,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000,1
71478d85,We launched <*> speculations. Sleeping <*> milliseconds.,1
a5763810,Scheduling a redundant attempt for task task_1445144423722_0020_m_000000,1
4d487376,Diagnostics report from attempt_1445144423722_0020_m_000003_0 : Container killed by the ApplicationMaster.,1
ec602e93,Address change detected. Old : msra-sa-41/ <*> New : msra-sa-41 : <*>,476
56587bea,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for <*> seconds. Will retry shortly ...,326
294c1d17,"Slow ReadProcessor read fields took 65020ms (threshold = 30000ms) ; ack : seqno : -2 status : SUCCESS status : ERROR downstreamAckTimeNanos : <*> , targets : [ <*> , <*> ]",1
49e2ff84,DFSOutputStream ResponseProcessor exception for block BP-1347369012- <*> -1444972147527 : blk_1073743512_2731,1
729ce0b3,"Error Recovery for block BP-1347369012- <*> -1444972147527 : blk_1073743512_2731 in pipeline <*> , <*> : bad datanode <*>",1
2ef07439,DataStreamer Exception,1
b4ff2357,ERROR IN CONTACTING RM.,147
268abe28,"Retrying connect to server : msra-sa-41 : 8030. Already tried <*> time(s) ; retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries = <*> , sleepTime = <*> MILLISECONDS)",146
