EventId,EventTemplate,Occurrences
fd175948,authentication failure ; logname = uid = <*> euid = <*> tty = NODEVssh ruser = rhost = <*>,117
296af93f,check pass ; user unknown,117
598ea438,authentication failure ; logname = uid = <*> euid = <*> tty = NODEVssh ruser = rhost = <*> user = root,351
ac71ed48,session opened for user cyrus by (uid = 0),43
fe6f65a7,session closed for user cyrus,43
a757c0c2,ALERT exited abnormally with [1],43
2ccce342,session opened for user news by (uid = 0),43
70fd00b7,session closed for user news,43
458b5ed2,connection from <*> <*> at <*> <*> <*>,909
faddb6e0,authentication failure ; logname = uid = <*> euid = <*> tty = NODEVssh ruser = rhost = <*> user = guest,17
f7406d78,session opened for user test by (uid = 509),36
91b7ca30,session closed for user test,36
1a41fd9a,User unknown timed out after <*> seconds at <*> <*> <*>,1
e05fcc23,cupsd shutdown succeeded,6
adc372d2,cupsd startup succeeded,6
6f97e9d4,restart.,7
4f67b71e,Received SNMP packet(s) from <*>,1
89d42be5,Authentication failed from <*> ( <*> ) : Permission denied in replay cache code,8
dea5ca56,Kerberos authentication failed,23
a908e634,Authentication failed from <*> ( <*> ) : Software caused connection abort,15
acdeb4d4,*** info [mice.c(1766)] :,1
6aa855f7,imps2 : Auto-detected intellimouse PS/2,1
2593b5a0,session opened for user root by LOGIN(uid = 0),1
e2234786,ROOT LOGIN ON tty2,1
3be46d32,session closed for user root,1
3d002f62,removing device node <*>,4
961489c4,creating device node <*>,4
053587c3,authentication failure ; logname = uid = <*> euid = <*> tty = NODEVssh ruser = rhost = <*> user = test,4
23fd6213,authentication failure ; logname = uid = <*> euid = <*> tty = : <*> ruser = rhost =,1
03649f38,Couldn't authenticate user,1
143edd1e,"ANONYMOUS FTP LOGIN FROM <*> , (anonymous)",2
a82d5ea6,notify question section contains no SOA,16
b52c142c,getpeername (ftpd) : Transport endpoint is not connected,4
0d6b973a,warning : can't get client address : Connection reset by peer,2
68e18dc0,"klogd 1.4.1 , log source = /proc/kmsg started.",1
e93b4bd6,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 <*> (Red Hat Linux 3.3.3-7)) #1 <*> <*> <*> <*> EDT <*>,1
de615978,BIOS-provided physical RAM map :,1
293cabfe,BIOS-e820 : <*> - 00000000000a0000 (usable),1
13090f7f,BIOS-e820 : 00000000000f0000 - <*> (reserved),1
3e72dc55,BIOS-e820 : <*> - 0000000007eae000 (usable),1
8d189cd3,BIOS-e820 : 0000000007eae000 - <*> (reserved),1
c4479560,BIOS-e820 : 00000000ffb00000 - <*> (reserved),1
8d44ea73,kernel.core_uses_pid = <*>,1
9b11616a,0MB HIGHMEM available.,1
6b643c98,126MB LOWMEM available.,1
42e1da55,zapping low mappings.,1
abd14c95,klogd startup succeeded,1
b31457b2,On node <*> totalpages : <*>,1
b49a9f22,"DMA zone : <*> pages , LIFO batch : <*>",1
a2dfda88,"Normal zone : <*> pages , LIFO batch : <*>",1
ee94dc44,"HighMem zone : <*> pages , LIFO batch : <*>",1
90cdab58,DMI 2.3 present.,1
45e5ce07,ACPI disabled because your bios is from <*> and too old,1
2dc02775,You can enable it with acpi = force,1
4d847ed1,Built <*> zonelists,1
59ca4d9b,Kernel command line : ro root = LABEL = / rhgb quiet,1
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
fe3c862d,Initializing CPU#0,1
187c7d56,"CPU <*> irqstacks , hard = <*> soft = <*>",1
ee5e9e39,PID hash table entries : <*> (order <*> : <*> bytes),1
b6fd22c2,Detected 731.219 MHz processor.,1
8c112e82,Version 1.0.6 Starting,1
85959353,Using tsc for high-res timesource,1
2315719c,<*> startup succeeded,7
2c4f71ff,Console : colour VGA+ 80x25,1
5ef981ab,"Memory : 125312k/129720k available (1540k kernel code , 3860k reserved , 599k data , 144k init , 0k highmem)",1
8eff90b2,Calibrating delay loop... 1445.88 BogoMIPS,1
3c5e98a7,Security Scaffold v1.0.0 initialized,1
8c6f7d09,SELinux : Initializing.,1
4615e4c7,SELinux : Starting in permissive mode,1
f66dae63,"There is already a security framework initialized , register_security failed.",1
a31006da,Failure registering capabilities with the kernel,1
18ff352e,selinux_register_security : Registering secondary module capability,1
48a493b0,Capability LSM initialized,1
321c995a,"Dentry cache hash table entries : <*> (order : <*> , <*> bytes)",1
e5a8d077,"<*> hash table entries : <*> (order <*> <*> , <*> bytes)",3
f0876862,"CPU : L1 I cache : 16K , L1 D cache : 16K",1
b431523b,CPU : L2 cache : 256K,1
53650236,Intel machine check architecture supported.,1
67e6196c,Intel machine check reporting enabled on CPU#0.,1
511016d3,CPU : Intel Pentium III (Coppermine) stepping <*>,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
0dfe904f,Checking 'hlt' instruction... OK.,1
c1be0f9d,Initializing random number generator : succeeded,1
60696e47,POSIX conformance testing by UNIFIX,1
7f8f288a,NET : Registered protocol family <*>,1
1d9e4cf5,"PCI : PCI BIOS revision 2.10 entry at 0xfc0ce , last bus = <*>",1
55972980,PCI : Using configuration type <*>,1
63700af1,mtrr : v2.0 (20020519),1
9261fd61,ACPI : Subsystem revision <*>,1
5a5569d2,ACPI : Interpreter disabled.,1
18330ef6,Linux Plug and Play Support v0.97 (c) Adam Belay,1
d584ea88,Starting pcmcia : succeeded,1
d027a420,usbcore : registered new driver usbfs,1
a49128aa,usbcore : registered new driver hub,1
88a43155,ACPI : ACPI tables contain no PCI IRQ routing entries,1
c422ec15,PCI : Invalid ACPI-PCI IRQ routing table,1
758a79fc,PCI : Probing PCI hardware,2
5ad648af,Transparent bridge - <*> : <*> : 1e.0,1
aa7e9c14,PCI : Using IRQ router PIIX/ICH [8086/2410] at <*> : <*> : 1f.0,1
819ac27f,apm : BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),1
709f0f53,audit : initializing netlink socket (disabled),1
1a06754d,HCI daemon ver 2.4 started,1
1931276c,audit(1122475266.4294965305 : 0) : initialized,1
4b328525,Setting network parameters : succeeded,1
db9d37a1,sdpd v1.5 started,1
0127c3df,"Total HugeTLB memory allocated , <*>",1
3d3c29f0,Bringing up loopback interface : succeeded,1
7fd48c5f,VFS : Disk quotas dquot_6.5.1,1
2d33f558,SELinux : Registering netfilter hooks,1
2b566107,Initializing Cryptographic API,1
ab5d2fbc,pci_hotplug : PCI Hot Plug PCI Core version : 0.5,1
111fb21f,isapnp : Scanning for PnP cards...,1
80cc7236,isapnp : No Plug & Play device found,1
25be35b6,Real Time Clock Driver v1.12,1
e27b23bc,Linux agpgart interface v0.100 (c) Dave Jones,1
