LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,"['IO', '<*>', 'nderboltSwitch<0>(0x0)', ':', ':', 'listenerCallback', '-', '<*>', 'nderbolt', 'HPD', 'packet', 'for', 'route', '=', '0x0', 'port', '=', '<*>', 'unplug', '=', '<*>']",6eee143b,IO <*> nderboltSwitch<0>(0x0) : : listenerCallback - <*> nderbolt HPD packet for route = 0x0 port = <*> unplug = <*>
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,"['Thermal', 'pressure', 'state', ':', '<*>', 'Memory', 'pressure', 'state', ':', '<*>']",3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,"['FA||Url||taskID[2019352994]', 'dealloc']",a507ad97,<*> dealloc
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '620701.011328', ':', 'AirPort_Brcm43xx', ':', ':', 'syncPowerState', ':', 'WWEN[enabled]']",4e7528b1,ARPT : <*> : AirPort_Brcm43xx : : syncPowerState : WWEN[enabled]
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,"['ARPT', ':', '620702.879952', ':', 'AirPort_Brcm43xx', ':', ':', 'platformWoWEnable', ':', 'WWEN[disable]']",e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,"['mDNS_DeregisterInterface', ':', 'Frequent', 'transitions', 'for', 'interface', 'awdl0', '(FE80', ':', '<*>', ':', '<*>', ':', '<*>', ':', 'D8A5', ':', '90FF', ':', 'FEF5', ':', '7FFF)']",aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '620749.901374', ':', 'IOPMPowerSource', 'Information', ':', 'onSleep', ',', 'SleepType', ':', 'Normal', 'Sleep', ',', ""'ExternalConnected'"", ':', 'Yes', ',', ""'TimeRemaining'"", ':', '<*>', ',']",56814845,"ARPT : <*> : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , 'ExternalConnected' : Yes , 'TimeRemaining' : <*> ,"
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '620750.434035', ':', 'wl0', ':', 'wl_update_tcpkeep_seq', ':', 'Original', 'Seq', ':', '<*>', ',', 'Ack', ':', '<*>', ',', 'Win', 'size', ':', '<*>']",12748fb3,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Original Seq : <*> , Ack : <*> , Win size : <*>"
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,"['ARPT', ':', '620752.337198', ':', 'ARPT', ':', 'Wake', 'Reason', ':', 'Wake', 'on', 'Scan', 'offload']",d47030ed,ARPT : <*> : ARPT : Wake Reason : Wake on Scan offload
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,"['__73-[NetworkAnalyticsEngine', 'observeValueForKeyPath', ':', 'ofObject', ':', 'change', ':', 'context', ':', ']_block_invoke', 'unexpected', 'switch', 'value', '<*>']",ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlAutoMode', 'Resuming', 'AWDL']",f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,"['__73-[NetworkAnalyticsEngine', 'observeValueForKeyPath', ':', 'ofObject', ':', 'change', ':', 'context', ':', ']_block_invoke', 'unexpected', 'switch', 'value', '<*>']",ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '620896.311264', ':', 'wl0', ':', 'MDNS', ':', '<*>', 'SRV', 'Recs', ',', '<*>', 'TXT', 'Recs']",744c2141,"ARPT : <*> : wl0 : MDNS : <*> SRV Recs , <*> TXT Recs"
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,"['AppleCamIn', ':', ':', 'systemWakeCall', '-', 'messageType', '=', '0xE0000340']",d9f8fb9a,AppleCamIn : : systemWakeCall - messageType = <*>
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"['setting', 'hostname', 'to', '""', 'authorMacBook-Pro.local', '""']",d5927e7c,"setting hostname to "" <*> """
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,"['CCIOReporterFormatter', ':', ':', 'addRegistryChildToChannelDictionary', 'streams', '<*>']",0ef0351f,CCIOReporterFormatter : : addRegistryChildToChannelDictionary streams <*>
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,"['[09', ':', '<*>', ':', '58.929]', '<<<<', 'CRABS', '>>>>', 'crabsFlumeHostAvailable', ':', '[0x7f961cf08cf0]', 'Byte', 'flume', 'reports', 'host', 'available', 'again.']",3ca4318c,<*> : <*> : <*> <<<< CRABS >>>> crabsFlumeHostAvailable : [0x7f961cf08cf0] Byte flume reports host available again.
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlAutoMode', 'Resuming', 'AWDL']",f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,"['AirPort', ':', 'Link', 'Down', 'on', 'awdl0.', 'Reason', '<*>', '(Unspecified).']",5173857d,AirPort : Link Down on awdl0. Reason <*> (Unspecified).
22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,"['IO', '<*>', 'nderboltSwitch<0>(0x0)', ':', ':', 'listenerCallback', '-', '<*>', 'nderbolt', 'HPD', 'packet', 'for', 'route', '=', '0x0', 'port', '=', '<*>', 'unplug', '=', '<*>']",6eee143b,IO <*> nderboltSwitch<0>(0x0) : : listenerCallback - <*> nderbolt HPD packet for route = 0x0 port = <*> unplug = <*>
23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"['PM', 'response', 'took', '<*>', 'ms', '(54', ',', 'powerd)']",80350385,"PM response took <*> ms <*> , <*>"
24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621131.293163', ':', 'wl0', ':', 'Roamed', 'or', 'switched', 'channel', ',', 'reason', '#8', ',', 'bssid', '5c', ':', '<*>', ':', '<*>', ':', '4c', ':', '<*>', ':', '<*>', ',', 'last', 'RSSI', '-64']",0fb1c45b,"ARPT : 621131.293163 : wl0 : Roamed or switched channel , reason #8 , bssid 5c : <*> : <*> : 4c : <*> : <*> , last RSSI -64"
26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621145.554555', ':', 'IOPMPowerSource', 'Information', ':', 'onSleep', ',', 'SleepType', ':', 'Normal', 'Sleep', ',', ""'ExternalConnected'"", ':', 'Yes', ',', ""'TimeRemaining'"", ':', '<*>', ',']",56814845,"ARPT : <*> : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , 'ExternalConnected' : Yes , 'TimeRemaining' : <*> ,"
27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621146.080894', ':', 'wl0', ':', 'wl_update_tcpkeep_seq', ':', 'Original', 'Seq', ':', '<*>', ',', 'Ack', ':', '<*>', ',', 'Win', 'size', ':', '<*>']",12748fb3,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Original Seq : <*> , Ack : <*> , Win size : <*>"
28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,"['nw_nat64_post_new_ifstate', 'successfully', 'changed', 'NAT64', 'ifstate', 'from', '0x4', 'to', '0x8000000000000000']",82a3fe7d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> <*> 0x8000000000000000
29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
30,Jul,1,09:27:01,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlSuspendedMode()', 'Suspending', 'AWDL', ',', 'enterQuietMode(true)']",e1e793c3,"IO80211AWDLPeerManager : : setAwdlSuspendedMode() Suspending AWDL , enterQuietMode(true)"
32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"['network_reachability_changed', ':', 'network', 'is', 'not', 'reachable', ',', 'netbiosd', 'is', 'shutting', 'down']",9960f815,"network_reachability_changed : network is not reachable , netbiosd is shutting down"
33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,"['CCFile', ':', ':', 'captureLogRun()', 'Exiting', 'CCFile', ':', ':', 'captureLogRun']",8caebfba,CCFile : : captureLogRun() Exiting CCFile : : captureLogRun
34,Jul,1,09:28:50,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,"['Thermal', 'pressure', 'state', ':', '<*>', 'Memory', 'pressure', 'state', ':', '<*>']",3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>
35,Jul,1,09:28:53,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],"['<*>', '(31211)', 'deny', 'network-outbound', '/private/var/run/mDNSResponder']",d2690211,<*> <*> deny <*> <*>
37,Jul,1,09:29:14,calvisitor-10-105-160-95,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlAutoMode', 'Resuming', 'AWDL']",f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL
38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621241.634070', ':', 'wl0', ':', 'MDNS', ':', 'IPV6', 'Addr', ':', '<*>', ':', 'f140', ':', '<*>', ':', '<*>', ':', 'c6b3', ':', '1ff', ':', 'fecd', ':', '467f']",ae764079,ARPT : <*> : wl0 : MDNS : IPV6 Addr : <*> : <*> <*> <*> : <*> : c6b3 : 1ff : fecd : 467f
39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,"['AirPort', ':', 'Link', 'Up', 'on', 'en0']",1f8f78e7,AirPort : Link Up on <*>
40,Jul,1,09:31:53,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
41,Jul,1,09:32:03,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,"['Sandbox', ':', '<*>', '(31229)', 'deny(1)', 'network-outbound', '/private/var/run/mDNSResponder']",b6cb511a,Sandbox : <*> <*> deny(1) <*> <*>
43,Jul,1,09:32:28,calvisitor-10-105-160-95,mDNSResponder,91,,"['mDNS_DeregisterInterface', ':', 'Frequent', 'transitions', 'for', 'interface', 'awdl0', '(FE80', ':', '<*>', ':', '<*>', ':', '<*>', ':', 'D8A5', ':', '90FF', ':', 'FEF5', ':', '7FFF)']",aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621342.242614', ':', 'AirPort_Brcm43xx', ':', ':', 'platformWoWEnable', ':', 'WWEN[enable]']",e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>
45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,"['AirPort', ':', 'Link', 'Up', 'on', 'awdl0']",1f8f78e7,AirPort : Link Up on <*>
46,Jul,1,09:33:13,authorMacBook-Pro,kernel,0,,"['AppleCamIn', ':', ':', 'systemWakeCall', '-', 'messageType', '=', '0xE0000340']",d9f8fb9a,AppleCamIn : : systemWakeCall - messageType = <*>
47,Jul,1,09:33:58,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621389.379319', ':', 'wl0', ':', 'MDNS', ':', 'IPV6', 'Addr', ':', '<*>', ':', 'f140', ':', '<*>', ':', '<*>', ':', 'c6b3', ':', '1ff', ':', 'fecd', ':', '467f']",ae764079,ARPT : <*> : wl0 : MDNS : IPV6 Addr : <*> : <*> <*> <*> : <*> : c6b3 : 1ff : fecd : 467f
48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,"['Apple', '<*>', 'nderboltGenericHAL', ':', ':', 'earlyWake', '-', 'complete', '-', 'took', '<*>', 'milliseconds']",18856031,Apple <*> nderboltGenericHAL : : earlyWake - complete - took <*> milliseconds
49,Jul,1,09:34:52,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,"['mDNS_DeregisterInterface', ':', 'Frequent', 'transitions', 'for', 'interface', 'en0', '(2607', ':', 'F140', ':', '<*>', ':', '<*>', ':', 'C6B3', ':', '01FF', ':', 'FECD', ':', '467F)']",aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,"['Apple', '<*>', 'nderboltNHIType2', ':', ':', 'waitForOk2Go2Sx', '-', 'retries', '=', '<*>']",cace134e,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - retries = <*>
52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621490.858770', ':', 'wl0', ':', 'wl_update_tcpkeep_seq', ':', 'Updated', 'seq/ack/win', 'from', 'UserClient', 'Seq', '<*>', ',', 'Ack', '<*>', ',', 'Win', 'size', '<*>']",b41e7718,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Updated seq/ack/win from UserClient Seq <*> , Ack <*> , Win size <*>"
53,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621490.890645', ':', 'AirPort_Brcm43xx', ':', ':', 'syncPowerState', ':', 'WWEN[enabled]']",4e7528b1,ARPT : <*> : AirPort_Brcm43xx : : syncPowerState : WWEN[enabled]
54,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"['IO', '<*>', 'nderboltSwitch<0>(0x0)', ':', ':', 'listenerCallback', '-', '<*>', 'nderbolt', 'HPD', 'packet', 'for', 'route', '=', '0x0', 'port', '=', '<*>', 'unplug', '=', '<*>']",6eee143b,IO <*> nderboltSwitch<0>(0x0) : : listenerCallback - <*> nderbolt HPD packet for route = 0x0 port = <*> unplug = <*>
55,Jul,1,09:39:57,authorMacBook-Pro,kernel,0,,"['ARPT', ':', '621492.770239', ':', 'AirPort_Brcm43xx', ':', ':', 'platformWoWEnable', ':', 'WWEN[disable]']",e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>
56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,"['en0', ':', ':', 'IO80211Interface', ':', ':', 'postMessage', 'bssid', 'changed']",b1ea1618,en0 : : IO80211Interface : : postMessage bssid changed
57,Jul,1,09:41:34,authorMacBook-Pro,kernel,0,,"['ARPT', ':', '621542.378462', ':', 'ARPT', ':', 'Wake', 'Reason', ':', 'Wake', 'on', 'Scan', 'offload']",d47030ed,ARPT : <*> : ARPT : Wake Reason : Wake on Scan offload
58,Jul,1,09:41:34,authorMacBook-Pro,symptomsd,215,,"['__73-[NetworkAnalyticsEngine', 'observeValueForKeyPath', ':', 'ofObject', ':', 'change', ':', 'context', ':', ']_block_invoke', 'unexpected', 'switch', 'value', '<*>']",ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>
59,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
60,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,43,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
61,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,"['Thermal', 'pressure', 'state', ':', '<*>', 'Memory', 'pressure', 'state', ':', '<*>']",3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>
