EventId,EventTemplate,Occurrences
6eee143b,IO <*> nderboltSwitch<0>(0x0) : : listenerCallback - <*> nderbolt HPD packet for route = 0x0 port = <*> unplug = <*>,36
3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>,39
a507ad97,<*> dealloc,17
4e7528b1,ARPT : <*> : AirPort_Brcm43xx : : syncPowerState : WWEN[enabled],12
e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>,28
aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,9
56814845,"ARPT : <*> : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , 'ExternalConnected' : Yes , 'TimeRemaining' : <*> ,",7
12748fb3,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Original Seq : <*> , Ack : <*> , Win size : <*>",6
d47030ed,ARPT : <*> : ARPT : Wake Reason : Wake on Scan offload,9
ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>,16
f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL,15
744c2141,"ARPT : <*> : wl0 : MDNS : <*> SRV Recs , <*> TXT Recs",9
d9f8fb9a,AppleCamIn : : systemWakeCall - messageType = <*>,56
d5927e7c,"setting hostname to "" <*> """,7
702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring.",166
0ef0351f,CCIOReporterFormatter : : addRegistryChildToChannelDictionary streams <*>,7
3ca4318c,<*> : <*> : <*> <<<< CRABS >>>> crabsFlumeHostAvailable : [0x7f961cf08cf0] Byte flume reports host available again.,3
5173857d,AirPort : Link Down on awdl0. Reason <*> (Unspecified).,7
80350385,"PM response took <*> ms <*> , <*>",11
0fb1c45b,"ARPT : 621131.293163 : wl0 : Roamed or switched channel , reason #8 , bssid 5c : <*> : <*> : 4c : <*> : <*> , last RSSI -64",1
82a3fe7d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> <*> 0x8000000000000000,15
e1e793c3,"IO80211AWDLPeerManager : : setAwdlSuspendedMode() Suspending AWDL , enterQuietMode(true)",11
9960f815,"network_reachability_changed : network is not reachable , netbiosd is shutting down",1
8caebfba,CCFile : : captureLogRun() Exiting CCFile : : captureLogRun,22
d2690211,<*> <*> deny <*> <*>,35
ae764079,ARPT : <*> : wl0 : MDNS : IPV6 Addr : <*> : <*> <*> <*> : <*> : c6b3 : 1ff : fecd : 467f,20
1f8f78e7,AirPort : Link Up on <*>,13
b6cb511a,Sandbox : <*> <*> deny(1) <*> <*>,33
18856031,Apple <*> nderboltGenericHAL : : earlyWake - complete - took <*> milliseconds,22
cace134e,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - retries = <*>,11
b41e7718,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Updated seq/ack/win from UserClient Seq <*> , Ack <*> , Win size <*>",10
b1ea1618,en0 : : IO80211Interface : : postMessage bssid changed,10
00cedb4a,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,6
c57b7585,AppleCamIn : : wakeEventHandlerThread,20
9bce08e8,"ARPT : <*> : wl0 : setup_keepalive : Local port : <*> , Remote port : <*>",8
c4f10e9e,-[UABestAppSuggestionManager notifyBestAppChanged : type : options : bundleIdentifier : activityType : dynamicIdentifier : when : confidence : deviceName : deviceIdentifier : deviceType : ] (null) UASuggestedActionType = <*> (null)/(null) opts = (null) when = <*> +0000 confidence = <*> from = (null)/(null) (UABestAppSuggestionManager.m #319),14
187f4d4c,en0 : channel changed to <*>,20
8d03ae48,ARPT : <*> : AQM agg results 0x8001 len hi/lo : 0x0 <*> BAbitmap(0-3) <*> <*> <*> <*>,7
77f8cc9b,"CCFile : : captureLog Received Capture notice id : <*> , reason = AuthFail : sts : 5_rsn : <*>",15
1f86294d,IO80211AWDLPeerManager : : setAwdlOperatingMode Setting the AWDL operation mode from <*> <*> SUSPENDED,20
8b19a29f,Unrecognized attribute value : t : AbchPersonItemType,8
706ee61e,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure : Error Domain = <*> Code = <*> "" Account identity not set "" UserInfo = {NSDescription = Account identity not set}",12
64822c3f,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef , CFStringRef) : failed to create global data",2
450fd048,<*> : <*> : <*> : BTLE scanner Powered On,8
bff45e97,button report : <*>,20
14f0234b,<*> : <*> : 51.293 : BTLE discovered device with hash <01faa200 <*> 0000>,1
719e0484,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain = NSOSStatusErrorDomain Code = -50 "" query missing class name "" (paramErr : error in user parameter list) UserInfo = {NSDescription = query missing class name}",4
3813df52,Location icon should now be in state <*>,37
ff820fbe,"ARPT : <*> : wl0 : setup_keepalive : interval <*> , retry_interval <*> , retry_count <*>",11
069602c1,ARPT : <*> : wl0 : MDNS : <*> Addr : <*>,12
086cf4fa,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>,10
60c42900,"Setting BTCoex Config : enable_2G : <*> , profile_2g : <*> , enable_5G : <*> , profile_5G : <*>",7
a08627f9,Captive : [CNInfoNetworkActive : 1748] en0 : SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
933ce84f,-[NetworkAnalyticsEngine _writeJournalRecord : fromCellFingerprint : key : atLOI : ofKind : lqm : isFaulty : ] Hashing of the primary key failed. Dropping the journal record.,17
7fa1ce99,<*> : <*> : 19.229 : Finished generating hashes,1
ddbdf16d,Captive : CNPluginHandler en0 : Evaluating,4
a59c1e06,tcp_connection_destination_perform_socket_connect <*> connectx to <*> @0 failed : [50] Network is down,3
351d6ce8,AirPort : Link Down on en0. Reason <*> (Disassociated because station leaving).,5
0b031b5b,"USBMSC Identifier (non-unique) : <*> 0x5ac 0x8406 0x820 , <*>",12
e06807ec,CCXPCService : : setStreamEventHandler Registered for notification callback.,2
745d0e31,<*> : WARNING : dns_config_service_posix.cc(306)] Failed to read DnsConfig.,4
b4e808d7,Saw change in network reachability (isReachable = <*>,4
23d6730c,[HID] [ATC] AppleDeviceManagementHIDEventService : : processWakeReason Wake reason : Host (0x01),8
3e43fb30,dnssd_clientstub ConnectToServer : connect()-> No of tries : <*>,44
f63e1b3f,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
a80b38b4,"RTC : Maintenance <*> <*> : <*> : <*> , sleep <*> <*> : <*> : <*>",5
16771da2,RTC : PowerByCalendarDate setting ignored,11
36c1de5d,en0 : 802.11d country code set to <*>,5
2a7db432,"ARPT : <*> : wl0 : setup_keepalive : Seq : <*> , Ack : <*> , Win size : <*>",8
2873629b,[HID] [MT] AppleMultitouchDevice : : willTerminate entered,3
aaf79c0c,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
90b785e6,PMStats : Hibernate read took <*> ms,1
6bf65ed1,dnssd_clientstub ConnectToServer : connect() failed path : /var/run/mDNSResponder Socket : <*> Err : -1 Errno : <*> Operation not permitted,13
7b7be107,"pages <*> , wire <*> , act <*> , inact <*> , cleaned <*> spec <*> , zf <*> , throt <*> , compr <*> , xpmapped <*>",4
c244038a,"VDCAssistant : Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",1
9683e908,handle_will_sleep_auth_and_shield_windows : Reordering authw 0x7fa823a04400(2004) (lock state : 3),1
4e4c33f3,"<*> .133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl = 2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg : ] Checking with local engine : <KSUpdateEngine : 0x100259c60 ticketStore = <KSPersistentTicketStore : 0x100253770 store = <KSKeyedPersistentStore : 0x100254d10 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore "" lockFile = <KSLockFile : 0x100254d80 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/ <*> "" locked = NO > >> processor = <KSActionProcessor : 0x100259e70 delegate = <KSUpdateEngine : 0x100259c60> isProcessing = NO actionsCompleted = <*> progress = 0.00 errors = <*> currentActionErrors = <*> events = <*> currentActionEvents = <*> actionQueue = ( ) > delegate = (null) serverInfoStore = <KSServerPrivateInfoStore : 0x1002594d0 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers "" > errors = <*> >",1
fab681a7,-[ISGenerateImageOp generateImageWithCompletion : ] Failed to composit image for descriptor <ISBindingImageDescriptor : <*>,20
28636fa8,Error returned from iconservicesagent : (null),13
32614d3a,tcp_connection_tls_session_error_callback_imp <*> <*> error <*>,9
6f2ead77,"SecOSStatusWith error : [-50] Error Domain = NSOSStatusErrorDomain Code = -50 "" query missing class name "" (paramErr : error in user parameter list) UserInfo = {NSDescription = query missing class name}",5
9c96b253,send_datagram_available_ping : pid <*> failed to act on a ping it dequeued before timing out.,26
54b3c453,WARNING : Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,1
b01e6099,"device_generate_desktop_screenshot : authw <*> , shield <*>",3
008e2106,[ <*> ] [Refusing to parse response to PROPPATCH because of content-type : [text/html ; charset = UTF-8].],5
4b6a2516,"NETWORK : requery , <*> , <*> , <*> , <*> , <*> , items , fQueryRetries , <*> , fLastRetryTimestamp , <*>",17
ed85e5e0,Previous sleep cause : <*>,15
7e1bce0a,Wake reason : <*> <*>,11
aabe1713,Apple <*> nderboltNHIType2 : : prePCIWake - power up complete - took <*> us,15
9274525d,network changed : <*> : <*> ) <*> : <*> : f140 : <*> : <*> : c6b3 : 1ff : fecd : 467f) DNS! Proxy SMB,7
038257e5,hibernate_page_list_setall found pageCount <*>,2
ce00bd46,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService : : start Could not make a string from out connection notification key,2
20920613,en0 : BSSID changed to <*> <*> <*> : <*> : <*> : <*> : <*>,16
df811d53,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,1
e133f2cc,"<*> .676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl = 2] -[KSAgentApp updateProductWithProductID : usingEngine : ] Checking for updates for "" <*> "" using engine <KSUpdateEngine : 0x100313e70 ticketStore = <KSPersistentTicketStore : 0x100332a60 store = <KSKeyedPersistentStore : 0x100315fa0 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore "" lockFile = <KSLockFile : 0x1003176d0 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/ <*> "" locked = NO > >> processor = <KSActionProcessor : 0x1003143e0 delegate = <KSUpdateEngine : 0x100313e70> isProcessing = NO actionsCompleted = <*> progress = 0.00 errors = <*> currentActionErrors = <*> events = <*> currentActionEvents = <*> actionQueue = ( ) > delegate = (null) serverInfoStore = <KSServerPrivateInfoStore : 0x100311a10 path = "" /Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers "" > errors = <*> >",1
97e796cf,<*> <*> : <*> : <*> | I | VoipWrapper | DAVEngineImpl.cpp : <*> : Close | close video chat. ll <*> endUIN = <*>,4
27ddfa26,"ARPT : <*> : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , 'ExternalConnected' : No , 'TimeRemaining' : <*> ,",6
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,11
0e62e1b0,<*> : <*> : <*> : Discoverable mode changed to Off,2
5388f853,tcp_connection_handle_connect_conditions_bad <*> failed : <*> - No network route,18
6f1b37d9,Captive : CNPluginHandler en0 : Authenticated,7
db8e426f,ARPT : <*> : wl0 : setup_keepalive : Local IP : <*>,4
673ba328,TBT W (2) : 0x0040 [x],4
8ada3810,sigio_handler : sigio_handler_active ! = <*>,5
42e9195d,############################## _getSysMsgList,10
a66f5c58,"hibernate_teardown : wired_pages <*> , free_pages <*> , active_pages <*> , inactive_pages <*> , speculative_pages <*> , cleaned_pages <*> , compressor_pages <*>",1
e194959f,IOHibernatePollerOpen(0),2
8f7d765f,kern_open_file_for_direct_io(0),1
c87a69e0,(DiskStore.Normal : 2382) 20cb04f 1.000086,1
d9d3c566,network changed : DNS* Proxy,3
b5dd3697,ASL Sender Statistics,9
f8e1babe,<*> .516 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl = 2] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath : error : ] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id : <*>,1
9a971984,"<*> <*> <*> [lvl = 2] -[KSUpdateEngine updateAllExceptProduct : ] KSUpdateEngine updating all installed products , except : ' <*> '.",2
f2154fae,<*> <*> <*> [lvl = 2] main() ksfetch fetching URL (<NSMutableURLRequest : <*> { URL : https : // <*> /service/update2?cup2hreq = <*> = <*> : <*> }) to folder : <*>,2
b71de07c,"Path not allowed in target domain : type = pid , path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/ <*> /Contents/MacOS/ <*> error = <*> : The specified service did not ship in the requestor's bundle , origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/ <*>",12
9025b468,<*> : <*> : <*> <<<< IQ-CA >>>> piqca_setUsePreQueue : <*> rejecting report of layer being serviced - IQ has not yet begun to update,4
