EventId,EventTemplate,Occurrences
5185ab59,reverse mapping checking getaddrinfo for <*> [ <*> ] failed - POSSIBLE BREAK-IN ATTEMPT!,85
22e023ed,pam_unix(sshd : auth) : check pass ; user unknown,135
cc1fabde,pam_unix(sshd : auth) : authentication failure ; logname = uid = <*> euid = <*> tty = ssh ruser = rhost = <*>,110
2491ca3e,Connection closed by <*> [preauth],34
9302fad4,Invalid user <*> from <*>,113
52b6022f,input_userauth_request : invalid user <*> [preauth],113
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,135
81707f27,Received disconnect from <*> : <*> : Bye Bye [preauth],413
911ff2c7,message repeated <*> times : [ Failed password for root from <*> port <*> ssh2],2
51b48c6c,Disconnecting : Too many authentication failures for root [preauth],2
acfcdca4,PAM <*> more authentication failures ; logname = uid = <*> euid = <*> tty = ssh ruser = rhost = <*> user = root,2
a9fa2cf9,PAM service(sshd) ignoring max retries ; <*> > <*>,7
c926c7d9,Did not receive identification string from <*>,10
dfd274f7,error : Received disconnect from <*> : <*> : <*> : Auth fail [preauth],2
c9ade405,pam_unix(sshd : auth) : authentication failure ; logname = uid = <*> euid = <*> tty = ssh ruser = rhost = <*> user = <*>,384
f831cb6d,Failed password for <*> from <*> port <*> ssh2,383
54fd6a4d,Received disconnect from <*> : <*> : Closed due to user request. [preauth],7
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,4
5eb3601d,PAM <*> more authentication failures ; logname = uid = <*> euid = <*> tty = ssh ruser = rhost = <*>,6
b2d4b7e9,PAM <*> more authentication failure ; logname = uid = <*> euid = <*> tty = ssh ruser = rhost = <*>,2
c13ac0fe,error : Received disconnect from <*> : <*> : No more user authentication methods available. [preauth],45
e879f754,Accepted password for fztu from <*> port <*> ssh2,1
f94f1fd3,pam_unix(sshd : session) : session opened for user fztu by (uid = 0),1
2bcd535f,Received disconnect from <*> : <*> : disconnected by user,1
11b89180,pam_unix(sshd : session) : session closed for user fztu,1
fdd09d07,Disconnecting : Too many authentication failures for admin [preauth],1
b49e28ad,fatal : Write failed : Connection reset by peer [preauth],1
