EventId,EventTemplate,Occurrences
56ab45ba,<*> open through proxy <*> HTTPS,954
c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>",947
b1fe74a1,<*> open through proxy <*> SOCKS5,2
cb4cfc43,<*> error : A connection request was canceled before the completion.,31
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
0701d464,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target , status code <*>",17
c7052d0a,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,18
13424e44,awqiizxequsixgr : <*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
eaa31cae,wpad : <*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
6bedeeba,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,26
