EventId,EventTemplate
30c04e78,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{ <*> token = Token{ <*> ActivityRecord{ <*> u0 <*> /. <*> t761}}} , allDrawn = false , startingDisplayed = false , startingMoved = false , isRelaunching = false"
ae4f82c1,"acquire lock = <*> , flags = <*> , tag = "" View Lock "" , name = <*> , ws = null , uid = <*> , pid = <*>"
bc85aa74,"ready = true , policy = <*> , wakefulness = <*> , wksummary = <*> , uasummary = <*> , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = <*> , auto = - <*> , adj = <*> .0userId = <*>"
85fb1fe1,Skipping AppWindowToken{ <*> token = Token{ <*> ActivityRecord{ <*> u0 <*> <*> <*> <*> t761}}} -- going to hide
ae0e6d6d,visible is <*>
168e62e2,mVisiblity.getValue is false
9042ff8a,visible is <*> gt <*>
37f5365a,"release : lock = <*> , flg = <*> , tag = "" View Lock "" , name = <*> "" , ws = null , uid = <*> , pid = <*>"
e6c7def8,"updateClipping isOverlap : false , getTopPadding = <*> . <*> , Translation = <*> <*> . <*>"
28b590b8,updateDimmedActivatedHideSensitive overlap : false
db6be6fb,getRunningAppProcesses : caller <*> does not hold REAL_GET_TASKS ; limiting output
fa8f804b,"release : lock = <*> , flg = <*> , tag = "" *launch* "" , name = android "" , ws = WorkSource{ <*> } , uid = <*> , pid = <*>"
37250b57,"setSystemUiVisibility vis = <*> mask = <*> oldVal = <*> newVal = <*> diff = <*> fullscreenStackVis = <*> dockedStackVis = <*> , fullscreenStackBounds = Rect( <*> , <*> - <*> , <*> ) , dockedStackBounds = Rect( <*> , <*> - <*> , <*> )"
3c2ee2af,cancelAutohide
bad27f82,"notifyUiVisibilityChanged : vis = <*> , SystemUiVisibility = <*>"
11aaba01,Destroying surface Surface(name = SurfaceView - <*> <*> . <*> ) called by <*> : <*> <*> : <*> <*> : <*> <*> $Stub.onTransact : <*> <*> : <*> <*> : <*> <bottom of call stack> <bottom of call stack>
dc962a1b,Destroying surface Surface(name = <*> <*> . <*> ) called by <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> : <*> <*> $Stub.onTransact : <*> <*> : <*>
f496df04,"release : lock = <*> , flg = <*> , tag = "" WindowManager "" , name = android "" , ws = WorkSource{ <*> } , uid = <*> , pid = <*>"
bdc1d57a,"userActivityNoUpdateLocked : eventTime = <*> , event = <*> , flags = <*> , uid = <*>"
9638e733,"orientation change is complete , call stopFreezingDisplayLocked"
2300a3a9,Screen frozen for +1s0ms due to Window{ <*> u0 <*> <*> . <*> }
4bea79c0,startAnimation begin
d8791e4b,startAnimation end
293869bf,"release : lock = <*> , flg = <*> , tag = "" SCREEN_FROZEN "" , name = android "" , ws = null , uid = <*> , pid = <*>"
d04f161f,remove(PendingIntent{ <*> : PendingIntentRecord{ <*> <*> broadcastIntent}}) changed bounds ; rebatching
b388c79d,"rotationForOrientationLw(orient = <*> , last = <*> ) ; user = <*> USER_ROTATION_LOCKED"
f8b97c57,"Application requested orientation <*> , got rotation <*> which has compatible metrics"
0a50042c,"acquire lock = <*> , flags = <*> , tag = "" RILJ_ACK_WL "" , name = <*> , ws = null , uid = <*> , pid = <*>"
78791997,shouldBlockLocation running ...
3dabbd2b,shouldBlockLocation ret : false
c22c4fc5,getNeighboringCellInfo calling app is <*>
37b362ad,"release : lock = <*> , flg = <*> , tag = "" RILJ_ACK_WL "" , name = <*> "" , ws = null , uid = <*> , pid = <*>"
d810e394,"release : lock = <*> , flg = <*> , tag = "" AudioMix "" , name = audioserver "" , ws = null , uid = <*> , pid = <*>"
27415db4,"Releasing suspend blocker "" PowerManagerService.WakeLocks "" ."
956ace7c,HBM brightnessIn = <*>
b46f4fb2,HBM brightnessOut = <*>
2ab465d4,"Animating brightness : target = <*> , rate = <*>"
482e1e93,suspendAutohide
7cb46105,interceptKeyTq keycode = <*> interactive = true keyguardActive = false policyFlags = <*> down true canceled false
41aecd72,"interceptKeyBeforeQueueing : key <*> , result : <*>"
8d7445f8,resumeSuspendedAutohide
4232f6cf,interceptKeyTq keycode = <*> interactive = true keyguardActive = false policyFlags = <*> down false canceled false
eeec1449,querySoundEffectsEnabled...
b735e558,"acquire lock = <*> , flags = <*> , tag = "" *launch* "" , name = android , ws = WorkSource{ <*> } , uid = <*> , pid = <*>"
197256cc,"Acquiring suspend blocker "" PowerManagerService.WakeLocks "" ."
f0eb2f2f,Bad activity token : <*> @ <*>
ecbfccea,<*> : <*> cannot be cast to <*> $Token
e8374815,"onTouchEvent : : <*> , x = <*> . <*> , y = <*> . <*>"
ade15b9a,schedulePeek
33c7b245,getRingtonePlayer...
fc0e9d38,disable : < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >
43e0f320,"updateLightsLocked , mInCall = false , mScreenOn = true , ledNotification = = <*>"
5cdec6b0,"updateLightsLocked , turn off notificationLight"
6fc9d69c,"overlapAmount : <*> . <*> , previousNotificationEnd : <*> . <*> , newYTranslation : - <*> . <*> , location : <*> , i : <*> , getTopPadding : <*> . <*> , getLocationOnScreen() : - <*>"
92bf0b8b,"state.clipTopAmount : <*> , i : <*>"
f786464d,"updateClipping isOverlap : true , getTopPadding = <*> . <*> , Translation = - <*> . <*>"
34ed8289,updateDimmedActivatedHideSensitive overlap : true
f02115d0,onExpandingStarted
cd7563b4,onTrackingStarted
0b395d93,cancelPeek : false
f5f17e83,"flingToHeight : vel = <*> . <*> , expand = true , target = <*> . <*> , collapseSpeedUpFactor = <*> . <*> , expandBecauseOfFalsing = false"
27b5c264,onTrackingStopped : true
b5721111,onExpandingFinished
429ca1da,Sending non-protected broadcast <*> from system <*> : <*> <*> pkg <*>
dac08128,logNotificationVisibilityChanges runInThread start
fbd5de68,onNotificationVisibilityChanged called
eda14053,logNotificationVisibilityChanges runInThread over
6ed37c98,isSimPinSecure mSimDatas is null or empty
2f983de0,registerCallback not in UI.
5ca052b7,<*> : Must execute in UI
9a1b75ee,*** register callback for <*> <*> itor@ <*>
3ad5a38d,*** unregister callback for null
56894506,[PhoneIntfMgr] getDataEnabled : subId = <*> phoneId = <*>
ddc5411c,[PhoneIntfMgr] getDataEnabled : subId = <*> retVal = true
dbdde151,"onInterceptTouchEvent MotionEvent { action = <*> , actionButton = <*> , id[ <*> ] = <*> , x[ <*> ] = <*> . <*> , y[ <*> ] = <*> . <*> , toolType[ <*> ] = TOOL_TYPE_FINGER , buttonState = <*> , metaState = <*> , flags = <*> , edgeFlags = <*> , pointerCount = <*> , historySize = <*> , eventTime = <*> , downTime = <*> , deviceId = <*> , source = <*> } , mBlockTouches = false"
13fc8498,playSoundEffect effectType : <*>
