EventId,EventTemplate
9fa0c54e,Component State Change : Component <*> <*> <*> <*> <*> is in the unavailable state (HWID <*> )
b6d38bd5,clusterAddMember (command <*>
e5e34e3d,risBoot (command 1903)
76727c51,bootGenvmunix (command <*>
8d336518,boot (command <*>
28889bc4,wait (command <*>
ffd891af,halt (command <*>
b4e25afc,Command has completed successfully
4a5a3e82,Targeting domains : <*> and nodes : <*> child of command <*>
fb67e5f6,Targeting domains : <*> and nodes : <*> <*> <*>
fde4edad,psu failure\ ambient <*>
3b219fff,Temperature (41C) exceeds warning threshold
e6dfd4e8,ClusterFileSystem : There is no server for ServerFileSystem domain <*>
e8e28ff0,NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0
1a56db26,ServerFileSystem : An ServerFileSystem domain panic has occurred on storage442
76588bd2,Fan speeds ( <*> <*> <*> **** <*> <*> )
5452c51c,Command has been aborted
e13d082a,power/control problem
ec4e03ec,Link error
db5aa7f9,Link in reset
641961b9,Link ok
e13bbca9,Link error on broadcast tree <*> : <*> : <*> : <*>
d62b3142,ServerFileSystem : ServerFileSystem domain <*> is full
7327d207,ClusterFileSystem : ServerFileSystem domain <*> is no longer served by node <*>
75101dcd,running
61326117,blocked
b02b9741,not responding
8cfafe98,configured out
45a5fb3b,inconsistent nodesets <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok>
c76a5e84,active
cfcd2084,0
1ee85f6c,starting
3b38bec1,closing
fea08751,normal
7b83d3f0,warning
ac100cb8,ambient <*>
7e85bcb6,critical
9050ee25,Linkerror event interval expired
fc3695d9,risBoot (command 1903) Error : Timed out while waiting for SRM prompt : <ABORT code completed>
2706b4fa,boot (command 2092) Error : HALT asserted\ cannot continue
bd82b62d,Failed subcommands <*>
551adf73,link errors remain current
7d304af5,NIFF : node <*> has detected an available network connection on network <*> via interface <*>
