EventId,EventTemplate
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001
7feac570,Executing with tokens :
ed6c567e,"Kind : YARN_AM_RM_TOKEN , Service : , Ident : (appAttemptId { application_id { id : <*> cluster_timestamp : <*> } attemptId : <*> } keyId : -127633188)"
0594ecc2,Using mapred newApiCommitter.
c0c8618d,OutputCommitter set in config null
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
2ee5396c,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
beb11f13,Default file system [hdfs : //msra-sa-41 : 9000]
3a03968c,Emitting job history data to the timeline server is not enabled
ca7d7941,loaded properties from hadoop-metrics2.properties
4dc89700,Scheduled snapshot period at <*> second(s).
fc657c96,MRAppMaster metrics system started
d3121b5d,Adding job token for job_1445144423722_0020 to jobTokenSecretManager
da1ea596,Not uberizing job_1445144423722_0020 because : not enabled ; too many maps ; too much input ;
196c00e5,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = <*>
1e3d6618,Number of reduces for job job_1445144423722_0020 = <*>
f818dffe,job_1445144423722_0020Job Transitioned from NEW to INITED
0a3732af,"MRAppMaster launching normal , non-uberized , multi-container job job_1445144423722_0020."
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue
192d0e3e,Starting Socket Reader #1 for port <*>
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
808e383d,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/ <*>
e40be51c,IPC Server Responder : starting
bedf1b9c,IPC Server listener on <*> : starting
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
0859dbfb,Http request log for http.requests.mapreduce is not defined
44881da5,Added global filter 'safety' (class = org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
41dd53d2,Added filter AM_PROXY_FILTER (class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
cfdee873,Added filter AM_PROXY_FILTER (class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
db9d9b14,adding path spec : /mapreduce/*
8aa20788,Jetty bound to port <*>
cfcd2084,0
087cb8a0,Extract jar : file : /D : /hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C : \Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp
05c933e2,Started HttpServer2$SelectChannelConnectorWithSafeStartup@ <*>
01425cf2,Web app /mapreduce started at <*>
5ba9445a,Registered webapp guice modules
50aea95d,nodeBlacklistingEnabled : true
07a75a5d,maxTaskFailuresPerNode is <*>
168a0869,blacklistDisablePercent is <*>
2e74621b,Connecting to ResourceManager at msra-sa-41/ <*>
19b03445,"maxContainerCapability : <memory : <*> , vCores : 32>"
7ef9acf4,queue : default
293bdc87,Upper limit on the thread pool size is <*>
8362f0f7,job_1445144423722_0020Job Transitioned from INITED to SETUP
18b1d0f6,Processing the event EventType : JOB_SETUP
59681fa2,job_1445144423722_0020Job Transitioned from SETUP to RUNNING
6659e8b0,Resolved <*> to /default-rack
af0da6f2,<*> Task Transitioned from NEW to SCHEDULED
83c1b8ed,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
8645932c,"mapResourceRequest : <memory : <*> , vCores : 1>"
6a9d9093,"Event Writer setup for JobId : job_1445144423722_0020 , File : hdfs : //msra-sa-41 : 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist"
0a8b7172,"reduceResourceRequest : <memory : <*> , vCores : 1>"
09bedc6f,Before Scheduling : PendingReds : <*> ScheduledMaps : <*> ScheduledReds : <*> AssignedMaps : <*> AssignedReds : <*> CompletedMaps : <*> CompletedReds : <*> ContAlloc : <*> ContRel : <*> HostLocal : <*> RackLocal : <*>
4b07977c,"getResources() for application_1445144423722_0020 : ask = <*> release = <*> newContainers = <*> finishedContainers = <*> resourcelimit = <memory : <*> , vCores : <*> knownNMs = <*>"
e5979f78,"Recalculating schedule , headroom = <memory : <*> , vCores : <*>"
1fbfd66f,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
0f71bb1f,Got allocated containers <*>
5e5f5ff9,Assigned container <*> to <*>
7a55102f,After Scheduling : PendingReds : <*> ScheduledMaps : <*> ScheduledReds : <*> AssignedMaps : <*> AssignedReds : <*> CompletedMaps : <*> CompletedReds : <*> ContAlloc : <*> ContRel : <*> HostLocal : <*> RackLocal : <*>
3f211758,The job-jar file on the remote FS is hdfs : //msra-sa-41 : 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar
bb42a120,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container
e497a05e,Size of containertokens_dob is <*>
944f8887,Putting shuffle token in serviceData
e03f95cb,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
1ff3ed7e,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container <*> taskAttempt <*>
df347da1,Launching <*>
5d4fca87,Opening proxy : <*> : <*>
f4ac93f2,Shuffle port returned by ContainerManager for <*> : <*>
4caf8fc6,TaskAttempt : <*> using containerId : <*> on NM : <*> : <*>
2a94fbaf,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
a66db97c,<*> Task Transitioned from SCHEDULED to RUNNING
c08bbc63,Auth successful for job_1445144423722_0020 (auth : SIMPLE)
60675cee,JVM with ID : <*> asked for a task
2b2b6353,JVM with ID : <*> given task : <*>
3670935b,Progress of TaskAttempt <*> is : <*>
3f6aa571,"Cannot assign container Container : [ContainerId : container_1445144423722_0020_01_000012 , NodeId : MSRA-SA-39.fareast.corp.microsoft.com : <*> , NodeHttpAddress : MSRA-SA-39.fareast.corp.microsoft.com : <*> , Resource : <memory : <*> , vCores : 1> , Priority : <*> , Token : Token { kind : ContainerToken , service : <*> } , ] for a map as either container memory less than required <memory : <*> , vCores : 1> or no pending map tasks - maps.isEmpty = true"
ba0e1b89,Received completed container <*>
