EventId,EventTemplate
6eee143b,IO <*> nderboltSwitch<0>(0x0) : : listenerCallback - <*> nderbolt HPD packet for route = 0x0 port = <*> unplug = <*>
3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>
a507ad97,<*> dealloc
4e7528b1,ARPT : <*> : AirPort_Brcm43xx : : syncPowerState : WWEN[enabled]
e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>
aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
56814845,"ARPT : <*> : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , 'ExternalConnected' : Yes , 'TimeRemaining' : <*> ,"
12748fb3,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Original Seq : <*> , Ack : <*> , Win size : <*>"
d47030ed,ARPT : <*> : ARPT : Wake Reason : Wake on Scan offload
ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>
f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL
744c2141,"ARPT : <*> : wl0 : MDNS : <*> SRV Recs , <*> TXT Recs"
d9f8fb9a,AppleCamIn : : systemWakeCall - messageType = <*>
3dd7051d,"setting hostname to "" authorMacBook-Pro.local """
702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
0ef0351f,CCIOReporterFormatter : : addRegistryChildToChannelDictionary streams <*>
3ca4318c,<*> : <*> : <*> <<<< CRABS >>>> crabsFlumeHostAvailable : [0x7f961cf08cf0] Byte flume reports host available again.
5173857d,AirPort : Link Down on awdl0. Reason <*> (Unspecified).
80350385,"PM response took <*> ms <*> , <*>"
0fb1c45b,"ARPT : 621131.293163 : wl0 : Roamed or switched channel , reason #8 , bssid 5c : <*> : <*> : 4c : <*> : <*> , last RSSI -64"
82a3fe7d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> <*> 0x8000000000000000
e1e793c3,"IO80211AWDLPeerManager : : setAwdlSuspendedMode() Suspending AWDL , enterQuietMode(true)"
9960f815,"network_reachability_changed : network is not reachable , netbiosd is shutting down"
8caebfba,CCFile : : captureLogRun() Exiting CCFile : : captureLogRun
9e852824,<*> <*> deny network-outbound /private/var/run/mDNSResponder
ae764079,ARPT : <*> : wl0 : MDNS : IPV6 Addr : <*> : <*> <*> <*> : <*> : c6b3 : 1ff : fecd : 467f
1f8f78e7,AirPort : Link Up on <*>
b6cb511a,Sandbox : <*> <*> deny(1) <*> <*>
18856031,Apple <*> nderboltGenericHAL : : earlyWake - complete - took <*> milliseconds
cace134e,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - retries = <*>
b41e7718,"ARPT : <*> : wl0 : wl_update_tcpkeep_seq : Updated seq/ack/win from UserClient Seq <*> , Ack <*> , Win size <*>"
b1ea1618,en0 : : IO80211Interface : : postMessage bssid changed
00cedb4a,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>
c57b7585,AppleCamIn : : wakeEventHandlerThread
9bce08e8,"ARPT : <*> : wl0 : setup_keepalive : Local port : <*> , Remote port : <*>"
