EventId,EventTemplate
56ab45ba,<*> open through proxy <*> HTTPS
c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
b1fe74a1,<*> open through proxy <*> SOCKS5
cb4cfc43,<*> error : A connection request was canceled before the completion.
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.
0701d464,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target , status code <*>"
c7052d0a,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>
13424e44,awqiizxequsixgr : <*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>
eaa31cae,wpad : <*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>
6bedeeba,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>
