LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"['Registered', 'signal', 'handlers', 'for', '[TERM', ',', 'HUP', ',', 'INT]']",336762f4,"Registered signal handlers for [TERM , HUP , INT]"
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"['Changing', 'view', 'acls', 'to', ':', 'yarn', ',', 'curi']",5d9d9dda,"Changing view acls to : yarn , curi"
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"['Changing', 'modify', 'acls', 'to', ':', 'yarn', ',', 'curi']",f6cc0e72,"Changing modify acls to : yarn , curi"
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"['SecurityManager', ':', 'authentication', 'disabled', ';', 'ui', 'acls', 'disabled', ';', 'users', 'with', 'view', 'permissions', ':', 'Set(yarn', ',', 'curi)', ';', 'users', 'with', 'modify', 'permissions', ':', 'Set(yarn', ',', 'curi)']",10a8ade5,"SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set(yarn , curi) ; users with modify permissions : Set(yarn , curi)"
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"['Changing', 'view', 'acls', 'to', ':', 'yarn', ',', 'curi']",5d9d9dda,"Changing view acls to : yarn , curi"
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"['Changing', 'modify', 'acls', 'to', ':', 'yarn', ',', 'curi']",f6cc0e72,"Changing modify acls to : yarn , curi"
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"['SecurityManager', ':', 'authentication', 'disabled', ';', 'ui', 'acls', 'disabled', ';', 'users', 'with', 'view', 'permissions', ':', 'Set(yarn', ',', 'curi)', ';', 'users', 'with', 'modify', 'permissions', ':', 'Set(yarn', ',', 'curi)']",10a8ade5,"SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set(yarn , curi) ; users with modify permissions : Set(yarn , curi)"
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,"['Slf4jLogger', 'started']",b923f8c3,Slf4jLogger started
9,17/06/09,20:10:41,INFO,Remoting,"['Starting', 'remoting']",e99571c6,Starting remoting
10,17/06/09,20:10:41,INFO,Remoting,"['Remoting', 'started', ';', 'listening', 'on', 'addresses', ':', '[akka.tcp', ':', '//sparkExecutorActorSystem@mesos-slave-07', ':', '55904]']",19564a01,Remoting started ; listening on addresses : [akka.tcp : //sparkExecutorActorSystem@mesos-slave-07 : 55904]
11,17/06/09,20:10:41,INFO,util.Utils,"['Successfully', 'started', 'service', '<*>', 'on', 'port', '<*>']",f5a68e94,Successfully started service <*> on port <*>
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,"['Created', 'local', 'directory', 'at', '/opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4']",9ffef012,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
13,17/06/09,20:10:41,INFO,storage.MemoryStore,"['MemoryStore', 'started', 'with', 'capacity', '17.7', '<*>']",8c093329,MemoryStore started with capacity 17.7 <*>
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,"['Connecting', 'to', 'driver', ':', 'spark', ':', '//CoarseGrainedScheduler@', '<*>']",0dfc14e2,Connecting to driver : spark : //CoarseGrainedScheduler@ <*>
