EventId,EventTemplate
336762f4,"Registered signal handlers for [TERM , HUP , INT]"
5d9d9dda,"Changing view acls to : yarn , curi"
f6cc0e72,"Changing modify acls to : yarn , curi"
10a8ade5,"SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set(yarn , curi) ; users with modify permissions : Set(yarn , curi)"
b923f8c3,Slf4jLogger started
e99571c6,Starting remoting
19564a01,Remoting started ; listening on addresses : [akka.tcp : //sparkExecutorActorSystem@mesos-slave-07 : 55904]
f5a68e94,Successfully started service <*> on port <*>
9ffef012,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
8c093329,MemoryStore started with capacity 17.7 <*>
0dfc14e2,Connecting to driver : spark : //CoarseGrainedScheduler@ <*>
5a5c5838,Successfully registered with driver
b6e6ed50,Starting executor ID <*> on host mesos-slave-07
03459f52,Server created on <*>
17f432d4,Trying to register BlockManager
1c507e44,Registered BlockManager
9ba7fdc2,Got assigned task <*>
ae0572db,Running task <*> in stage <*> (TID <*>
6c90e140,Started reading broadcast variable <*>
e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )"
c0edc03b,Reading broadcast variable <*> took <*> ms
3528ee28,"Block <*> stored as values in memory (estimated size <*> <*> , free <*> <*> )"
0b3ad280,"Partition <*> not found , computing it"
534e2398,Input split : hdfs : // <*> /pjhe/logs/2kSOSP.log : <*>
70159af5,"<*> is deprecated. Instead , use <*>"
a3651f68,"Times : total = <*> , boot = <*> , init = <*> , finish = <*>"
33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
d7f24216,Found block <*> locally
24f60e3d,File Output Committer Algorithm version is <*>
619b6cc6,Saved output of task <*> to hdfs : // <*> <*>
b8ef02ec,<*> : Committed
