EventId,EventTemplate
3be46d32,session closed for user root
65c834bf,session opened for user root by (uid = 0)
cfcd2084,0
3d54d620,data_thread() got not answer from any [ <*> <*> datasource
8d43917d,"synchronized to <*> , stratum <*>"
ec002eb4,[ib_sm_sweep.c : 1831] : ********************** NEW SWEEP ********************
d521c88d,[ib_sm_sweep.c : 1455] : No topology change
ebb02a6d,[ib_sm_sweep.c : 1482] : No configuration change required
d6a4a088,Local disconnected : Connection closed.
6fd80c0f,connection lost : 'Connection closed.'
fadd4d28,unable to qualify my own domain name <*> -- using short name
411ad4e3,"<*> : from = root , size = <*> , class = <*> , nrcpts = <*> , msgid = <*> , relay = #7#@localhost"
d21ef973,"<*> : to = root , ctladdr = root (0/0) , delay = <*> : <*> : <*> , xdelay = <*> : <*> : <*> , mailer = relay , pri = <*> , relay = [ <*> ] [ <*> ] , dsn = 4.0.0 , stat = Deferred : Connection refused by [ <*> ]"
b117d234,DHCPDISCOVER from <*> : <*> : <*> : e3 : ba : c3 via eth1
ed14a80d,DHCPOFFER on <*> to <*> : <*> : <*> : e3 : ba : c3 via eth1
aa45ef2b,DHCPDISCOVER from <*> : <*> : <*> : e3 : ba : c3 via eth1 : network A_net : no free leases
c24f3f12,DHCPACK on <*> to <*> : <*> : <*> : e3 : ba : c3 via eth1
06dd8742,DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e3 : ba : c3 via eth1
f3535a32,START : tftp pid = <*> from = <*>
d161952a,DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e3 : ba : c3 via eth1 : unknown lease <*> .
1f9dd8bc,RRD_update <*> <*> : illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
97e54efd,kernel time sync disabled <*>
d89e5477,time reset +0.182379 s
4d20657c,Received SNMP packet(s) from #34#
b909c55d,kernel time sync enabled <*>
d676ca63,My unqualified host name <*> unknown ; sleeping for retry
3956ae6c,CentOS-4 (Kernel Module GPG key)
043fe8bf,<*> (v001 DELL PE BKC 0x00000001 MSFT <*> @ <*>
8a0bba24,HPET id : 0xffffffff base : 0xfed00000
69b9a4f8,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl)
c234208b,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level)
f63012ac,IOAPIC <*> <*> <*>
848d9c3a,<*> used by override.
2188fc64,Interpreter enabled
