EventId,EventTemplate
7a72cde4,Notification time out : <*>
009ff1b2,Received connection request / <*>
7a2ec7d0,Send worker leaving thread
45a3ec5d,Interrupted while waiting for message on queue
22d78191,"Connection broken for id <*> , my id = <*> , error ="
273e53f2,Interrupting SendWorker
60ca49f5,Closed socket connection for client / <*> which had sessionid <*>
ecefe136,caught end of stream exception
95a5e5a9,Client attempting to renew session <*> at / <*>
f05cbcde,Client attempting to establish new session at / <*>
adc6da68,Established session <*> with negotiated timeout <*> for client / <*>
0b73f5f8,Accepted socket connection from / <*>
0aa902cb,Unexpected Exception :
dd42a400,Connection request from old client / <*> ; will be dropped if server is in r-o mode
0aa9340c,Server environment : user.dir = /
757b1652,Cannot open channel to <*> at election address / <*>
ad92ce41,Processed session termination for sessionid : <*>
95440163,"Expiring session <*> , timeout of <*> exceeded"
df9824db,******* GOODBYE / <*> ********
00078e14,LOOKING
d05cc79b,My election bind port : <*> / <*>
0ec81265,"Have smaller server identifier , so dropping the connection : (2 , 1)"
c172d526,FOLLOWING
7601b5e9,"New election. My id = <*> , proposed zxid = 0x700000000"
a1237171,FOLLOWING - LEADER ELECTION TOOK - <*>
7e0a0120,"Notification : <*> (n.leader) , 0x700000197 (n.zxid) , 0x1 (n.round) , LEADING (n.state) , <*> (n.sid) , 0x7 (n.peerEPoch) , LOOKING (my state)"
e43b00c9,autopurge.snapRetainCount set to <*>
1a20f8dd,Server environment : java.vendor = Oracle Corporation
63f9f4f6,Revalidating client : <*>
7cc35456,"Server environment : zookeeper.version = 3.4.5--1 , built on 06/10/2013 <*> : <*> GMT"
6eebb18a,Server environment : user.name = zookeeper
894fcf6c,Server environment : os.name = Linux
2f41f340,Closed socket connection for client / <*> (no session established for client)
cacf42f4,Exception causing close of session 0x0 due to java.io.IOException : ZooKeeperServer not running
a982c9bb,"Notification : <*> (n.leader) , <*> (n.zxid) , <*> (n.round) , LOOKING (n.state) , <*> (n.sid) , <*> (n.peerEPoch) , LOOKING (my state)"
3da01e86,"Notification : <*> (n.leader) , 0xb0000007b (n.zxid) , 0x2 (n.round) , LOOKING (n.state) , <*> (n.sid) , 0xb (n.peerEPoch) , FOLLOWING (my state)"
5ccf7096,tickTime set to <*>
0cf47064,Unexpected exception causing shutdown while sock still open
91284968,Got user-level KeeperException when processing sessionid : 0x34ed93485090001 type : create cxid : 0x55b8bb0f zxid : 0x100000010 txntype : -1 reqpath : n/a Error Path : /home/curi/.zookeeper Error : KeeperErrorCode = NodeExists for /home/curi/.zookeeper
c34629d0,"Notification : <*> (n.leader) , <*> (n.zxid) , 0x2 (n.round) , LOOKING (n.state) , <*> (n.sid) , <*> (n.peerEPoch) , LEADING (my state)"
d459c04c,Starting quorum peer
25c21275,Snapshotting : <*> to <*>
07c7117c,Follower sid : <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4
689b0f5e,maxSessionTimeout set to -1
3a98bb4e,Have quorum of supporters ; starting up and setting last processed zxid : 0xb00000000
359559a2,"Notification : <*> (n.leader) , 0xa0000009a (n.zxid) , 0x1 (n.round) , FOLLOWING (n.state) , <*> (n.sid) , 0xa (n.peerEPoch) , LEADING (my state)"
c7ef5ae9,shutdown of request processor complete
9cb3def4,First is 0x0
a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084
9d86801d,Sending DIFF
4c5926a1,Getting a snapshot from leader
2f1db62d,"Notification : <*> (n.leader) , 0x100001564 (n.zxid) , 0x3 (n.round) , FOLLOWING (n.state) , <*> (n.sid) , 0x2 (n.peerEPoch) , FOLLOWING (my state)"
5bd1f197,minSessionTimeout set to -1
